W,-,-,-,W,-,T,H,M,M,O,-,-,-,W,W,W,-,-,-
W,-,-,-,W,-,-,H,M,M,O,-,-,-,D,-,W,-,-,-
W,-,-,-,W,-,T,H,H,M,O,-,-,-,W,-,W,D,W,-
W,-,-,-,W,-,-,T,-,O,O,-,-,-,W,-,W,-,W,T
W,-,-,-,W,-,-,T,-,-,O,O,-,-,W,-,W,-,W,-
W,W,W,D,W,-,-,-,-,-,O,O,-,-,W,W,W,W,W,-
W,-,W,-,-,-,-,-,T,-,-,O,-,-,-,-,-,-,-,-
W,-,D,-,-,-,-,T,-,-,-,O,-,-,-,-,-,-,T,-
W,W,W,-,-,-,-,B,-,B,-,O,O,O,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,B,B,O,-,-,O,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,O,-,-,O,O,-,-,T,-
-,-,-,-,-,-,-,-,-,-,-,O,-,-,-,O,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,O,-,-,-,O,B,-,B,-
-,-,-,-,-,-,-,-,-,-,B,O,-,-,-,O,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,O,-,-,B,O,-,-,-,-
