23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25
46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48
46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48
46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48
46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48
46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48
46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48
46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48
46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48
46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48
46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48
46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48
46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48
46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48
69,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,71
